"scientific_name","hosts"
"Acidovorax citrulli","Citrullus lanatus (watermelon), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita moschata (pumpkin), Cucurbita pepo (marrow), Paliurus spina-christi, Piper betle (betel pepper), Solanum lycopersicum (tomato)"
"Phakopsora pachyrhizi","Afzelia xylocarpa, Alysicarpus rugosus, Astragalus canadensis, Astragalus cicer (Cicer milkvetch), Astragalus crassicarpus, Astragalus glycyphyllos (sweet milkvetch), Baptisia alba var. macrophylla, Baptisia australis, Baptisia bracteata var. laevicaulis, Cajanus cajan (pigeon pea), Calopogonium caeruleum (jicama), Calopogonium mucunoides (calopo), Caragana arborescens (Siberian pea-tree), Centrosema virginianum, Cologania obovata, Crotalaria incana, Crotalaria lanceolata, Crotalaria ochroleuca, Crotalaria pallida (smooth crotalaria), Crotalaria sagittalis, Crotalaria spectabilis (showy rattlepod), Crotalaria verrucosa (blue-flower rattlepod), Crotalaria virgulata subsp. grantiana, Desmodium canadense, Desmodium cuspidatum, Desmodium perplexum, Desmodium rigidum, Desmodium tortuosum (Florida beggarweed), Erythrina herbacea, Erythrina subumbrans (December tree), Erythrina variegata (Indian coral tree), Genista tinctoria (Dyers broom), Glycine max (soyabean), Glycine soja, Glycyrrhiza lepidota, Indigofera miniata, Indigofera spicata (creeping indigo), Indigofera suffruticosa (Anil indigo), Indigofera tinctoria (true indigo), Kennedia prostrata, Kennedia rubicunda, Kummerowia striata (Japanese lespedeza), Lablab purpureus subsp. uncinatus, Lathyrus aphaca, Lathyrus sylvestris, Lespedeza bicolor (bicolor lespedeza), Lespedeza capitata, Lespedeza cyrtobotrya, Lespedeza juncea var. sericea (Sericea lespedeza), Lespedeza stipulacea [Kummerowia stipulacea], Lespedeza thunbergii, Lespedeza virgata, Lotus corniculatus (bird's-foot trefoil), Lotus glaber, Lotus tenuis, Lotus uliginosus [Lotus pedunculatus], Lotus unifoliolatus, Lupinus (lupins), Lupinus albus (white lupine), Lupinus angustifolius (narrow-leaf lupin), Lupinus luteus (yellow lupin), Lupinus perennis, Lupinus texensis, Medicago falcata (yellow alfalfa), Medicago laciniata, Medicago lupulina (black medick), Medicago minima (small medick), Medicago orbicularis, Medicago polymorpha (bur clover), Medicago sativa (lucerne), Mucuna (velvetbeans), Neonotonia wightii (perennial soybean), Pachyrhizus erosus (yam bean), Phaseolus (beans), Phaseolus coccineus (runner bean), Phaseolus lathyroides [Macroptilium lathyroides], Phaseolus lunatus (lima bean), Phaseolus vulgaris (common bean), Pseudovigna argentea, Pueraria, Pueraria montana, Pueraria montana var. lobata (kudzu), Pueraria phaseoloides (tropical kudzu), Robinia pseudoacacia (black locust), Robinia viscosa var. hartwigii, Senna sophera, Sesbania punicea (red sesbania), Sesbania virgata, Tephrosia cinerea, Tephrosia purpurea (purple tephrosia), Teramnus labialis (blue wiss), Teramnus micans, Teramnus repens, Teramnus uncinatus, Trifolium aureum (hop clover), Trifolium cernuum, Trifolium incarnatum (Crimson clover), Trifolium lappaceum, Trifolium reflexum, Trifolium resupinatum (Shaftal clover), Trifolium striatum, Trifolium tomentosum, Vigna adenantha, Vigna luteola, Vigna unguiculata (cowpea), Voandzeia subterranea [Vigna subterranea]"
"Spodoptera littoralis","Abelmoschus esculentus (okra), Acacia nilotica (gum arabic tree), Actinidia arguta (tara vine), Alcea rosea (Hollyhock), Allium ampeloprasum (wild leek), Allium cepa (onion), Allium fistulosum (Welsh onion), Amaranthus (amaranth), Anemone (windflower), Antirrhinum majus (snapdragon), Apium graveolens (celery), Arachis hypogaea (groundnut), Asparagus officinalis (asparagus), Beta vulgaris (beetroot), Beta vulgaris var. cicla, Beta vulgaris var. saccharifera (sugarbeet), Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. capitata (cabbage), Brassica rapa subsp. chinensis (Chinese cabbage), Brassica rapa subsp. pekinensis, Brassicaceae (cruciferous crops), Caladium, Callistephus chinensis (China aster), Camellia sinensis (tea), Canna, Capsicum (peppers), Capsicum annuum (bell pepper), Casuarina equisetifolia (casuarina), Chloris gayana (Rhodes grass), Chrysanthemum indicum (chrysanthemum), Citrullus lanatus (watermelon), Citrus, Citrus aurantium (sour orange), Coffea arabica (arabica coffee), Convolvulus (morning glory), Corchorus capsularis (white jute), Corchorus olitorius (jute), Cryptomeria, Cucurbita (pumpkin), Cucurbita pepo (marrow), Cynara cardunculus var. scolymus (globe artichoke), Dalbergia sissoo (shisham), Datura (thorn-apple), Daucus carota (carrot), Dianthus barbatus (sweet williams), Dianthus caryophyllus (carnation), Eucalyptus globulus (Tasmanian blue gum), Euphorbiaceae, Fabaceae (leguminous plants), Ficus carica (common fig), Ficus sycomorus (sycamore fig), Fragaria vesca (wild strawberry), Gerbera (Barbeton daisy), Gladiolus hybrids (sword lily), Glycine, Glycine max (soyabean), Gossypium (cotton), Gossypium barbadense (Gallini cotton), Gossypium hirsutum (Bourbon cotton), Guizotia abyssinica (niger), Helianthus annuus (sunflower), Helianthus tuberosus (Jerusalem artichoke), Hibiscus cannabinus (kenaf), Hibiscus mutabilis (cottonrose), Indigofera tinctoria (true indigo), Ipomoea batatas (sweet potato), Jatropha curcas (jatropha), Lactuca sativa (lettuce), Lantana, Luffa aegyptiaca (loofah), Lycopersicon, Malus sylvestris (crab-apple tree), Medicago sativa (lucerne), Melilotus (melilots), Mentha spicata (Spear mint), Monstera deliciosa (ceriman), Morus (mulberrytree), Morus alba (mora), Musa (banana), Musa x paradisiaca (plantain), Nicandra physalodes (apple of Peru), Nicotiana tabacum (tobacco), Opuntia (Pricklypear), Oryza sativa (rice), Persea americana (avocado), Petroselinum crispum (parsley), Phaseolus (beans), Phaseolus vulgaris (common bean), Phoenix dactylifera (date-palm), Piper (pepper), Pistia stratiotes (water lettuce), Pisum sativum (pea), Poaceae (grasses), Polyphagous (polyphagous), Populus alba (silver-leaf poplar), Portulaca oleracea (purslane), Prunus domestica (plum), Prunus salicina (Japanese plum), Psidium guajava (guava), Punica granatum (pomegranate), Quercus petraea (durmast oak), Raphanus sativus (radish), Ricinus communis (castor bean), Rosa (roses), Saccharum officinarum (sugarcane), Salvia officinalis (common sage), Senecio (Groundsel), Sesamum indicum (sesame), Sesbania sesban (sesban), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Spinacia oleracea (spinach), Tectona grandis (teak), Theobroma cacao (cocoa), Trifolium (clovers), Trifolium (clovers), Trifolium alexandrinum (Berseem clover), Trifolium repens (white clover), Trigonella foenum-graecum (fenugreek), Triticum aestivum (wheat), Verbena (vervain), Vicia faba (faba bean), Vigna angularis (adzuki bean), Vigna mungo (black gram), Vigna radiata (mung bean), Vigna unguiculata (cowpea), Viola odorata (English violet), Vitis (grape), Vitis vinifera (grapevine), Zea mays (maize), Zinnia elegans (zinnia)"
"Thaumetopoea pityocampa","Cedrus (cedars), Cedrus atlantica (Atlas cedar), Crataegus laevigata, Larix decidua (common larch), Pinopsida (conifers), Pinus (pines), Pinus brutia (brutian pine), Pinus canariensis (Canary pine), Pinus contorta (lodgepole pine), Pinus halepensis (Aleppo pine), Pinus mugo (mountain pine), Pinus nigra (black pine), Pinus nigra var. cebennensis, Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus ponderosa (ponderosa pine), Pinus radiata (radiata pine), Pinus sylvestris (Scots pine), Pseudotsuga menziesii (Douglas-fir), Quercus ilex (holm oak)"
"Aleurodicus dispersus","Abelmoschus esculentus (okra), Abelmoschus manihot (bele), Abutilon indicum (country mallow), Acacia (wattles), Acacia farnesiana (huisache), Acalypha (Copperleaf), Acalypha hispida (Copperleaf), Acalypha indica (Indian copperleaf), Acalypha wilkesiana, Acanthospermum hispidum (bristly starbur), Achyranthes aspera (devil's horsewhip), Agave americana (century plant), Ageratum conyzoides (billy goat weed), Aglaonema, Amaranthus (amaranth), Anacardium occidentale (cashew nut), Angelica, Annona, Annona muricata (soursop), Annona squamosa (sugar apple), Antigonon leptopus (coral vine), Arachis hypogaea (groundnut), Areca catechu (betelnut palm), Artocarpus (breadfruit trees), Artocarpus altilis (breadfruit), Artocarpus heterophyllus (jackfruit), Asystasia gangetica (chinese violet), Averrhoa bilimbi (bilimbi), Azadirachta indica (neem tree), Barleria, Bauhinia (camel's foot), Bauhinia purpurea (purple bauhinia), Begonia, Bidens pilosa (blackjack), Bixa orellana (annatto), Bougainvillea, Bougainvillea spectabilis (great bougainvillea), Brachychiton acerifolium, Cajanus cajan (pigeon pea), Calopogonium mucunoides (calopo), Calotropis gigantea (Yercum fibre), Canna, Canna indica (canna lilly), Capsicum (peppers), Capsicum annuum (bell pepper), Capsicum frutescens (chilli), Carica papaya (pawpaw), Cascabela thevetia (yellow oleander), Cassia (sennas), Cassia roxburghii, Cathormion umbellatum, Celtis (nettle tree), Centrosema pubescens (Centro), Cestrum (jessamine), Chrysalidocarpus lutescens (butterfly palm), Chrysanthemum (daisy), Chrysanthemum indicum (chrysanthemum), Cinnamomum camphora (camphor laurel), Citrullus lanatus (watermelon), Citrus, Citrus limon (lemon), Citrus sinensis (sweet orange), Cleome gynandra (wild spider flower), Clitoria ternatea (butterfly-pea), Cochlospermum gillivraei, Cocos, Cocos nucifera (coconut), Codiaeum variegatum (garden croton), Coelospermum decipiens, Coffea (coffee), Coleus, Colocasia, Colocasia esculenta (taro), Combretum indicum (Rangoon creeper), Corymbia torelliana (cadaga), Crassula ovata (jade plant), Crotalaria pallida (smooth crotalaria), Crotalaria retusa (rattleweed), Cucumis (melons, cucuimbers, gerkins), Cucumis melo (melon), Cucumis sativus (cucumber), Cyanthillium cinereum (little ironweed), Cymbopogon flexuosus, Dahlia pinnata (garden dahlia), Datura metel (Hindu datura), Delonix regia (flamboyant), Dendrophthoe falcata, Deplanchea tetraphylla, Derris trifoliata, Desmodium tortuosum (Florida beggarweed), Dimocarpus longan (longan tree), Elaeis guineensis (African oil palm), Erythrina variegata (Indian coral tree), Eugenia, Eupatorium, Euphorbia (spurges), Euphorbia cyathophora, Euphorbia heterophylla (wild poinsettia), Euphorbia hirta (garden spurge), Euphorbia pulcherrima (poinsettia), Ficus, Ficus benghalensis (banyan), Ficus carica (common fig), Ficus opposita, Ficus religiosa (sacred fig tree), Gliricidia sepium (gliricidia), Gloriosa superba (glory lily), Glycine max (soyabean), Gossypium (cotton), Gossypium herbaceum (short staple cotton), Gyrocarpus americanus, Hedera (Ivy), Hedychium, Helianthus annuus (sunflower), Helianthus tuberosus (Jerusalem artichoke), Hevea brasiliensis (rubber), Hibiscus (rosemallows), Hibiscus mutabilis (cottonrose), Hibiscus platanifolius, Hibiscus rosa-sinensis (Chinese rose), Hibiscus schizopetalus (fringed hibiscus), Hibiscus syriacus (shrubby althaea), Hibiscus tiliaceus (sea hibiscus), Impatiens (balsam), Impatiens balsamina (garden balsam), Ipomoea (morning glory), Ipomoea batatas (sweet potato), Ipomoea carnea subsp. fistulosa (bush morning glory), Ipomoea eriocarpa, Ipomoea hederifolia (scarlet-creeper), Ipomoea pileata, Ixora chinensis, Ixora coccinea (flame-of-the-woods), Jasminum (jasmine), Jasminum auriculatum, Lactuca sativa (lettuce), Lagenaria siceraria (bottle gourd), Lagerstroemia indica (Indian crape myrtle), Lantana camara (lantana), Leucaena leucocephala (leucaena), Ludwigia hyssopifolia (water primrose), Luffa aegyptiaca (loofah), Macadamia, Macaranga tanarius (parasol leaf tree), Mallotus nesophilus, Malvastrum coromandelianum, Malvaviscus, Mangifera, Mangifera indica (mango), Manihot esculenta (cassava), Manihot glaziovii (ceara rubber), Manilkara zapota (sapodilla), Maranta arundinacea (arrowroot), Merremia dissecta, Mirabilis jalapa (four o'clock flower), Momordica charantia (bitter gourd), Monstera deliciosa (ceriman), Moringa oleifera (horse radish tree), Morus (mulberrytree), Morus alba (mora), Morus australis, Morus nigra (black mulberry), Mucuna bracteata, Murraya koenigii (curry leaf tree), Musa (banana), Musa acuminata (wild banana), Musa x paradisiaca (plantain), Mussaenda, Nerium oleander (oleander), Ochrosia, Ocimum tenuiflorum (holy basil), Operculina turpethum, Osmanthus fragrans, Oxygonum, Pergularia daemia, Persea americana (avocado), Phaseolus (beans), Phaseolus lunatus (lima bean), Phaseolus vulgaris (common bean), Phyllanthus emblica (Indian gooseberry), Physalis (Groundcherry), Physalis angulata (cutleaf groundcherry), Physalis minima (Sunberry), Piper betle (betel pepper), Planchonia careya, Pluchea indica (Indian camphorweed), Plumeria (frangipani), Plumeria alba, Plumeria obtusa, Plumeria rubra (red frangipani), Polyalthia longifolia (debdar), Pongamia pinnata (Indian beech), Pouteria unmackiana, Premna serratifolia, Prunus (stone fruit), Prunus dulcis (almond), Psidium guajava (guava), Pterocarpus indicus (red sandalwood), Pueraria montana var. lobata (kudzu), Punica granatum (pomegranate), Rhododendron (Azalea), Rhynchosia minima, Ricinus communis (castor bean), Rorippa indica (Indian marshcress), Rosa (roses), Rubus (blackberry, raspberry), Rubus occidentalis (black raspberry), Salvia (sage), Sanchezia speciosa (shrubby whitevein), Sauropus androgynus, Schinus terebinthifolius (Brazilian pepper tree), Semecarpus australiensis, Senna (Spermatophyta), Senna montana, Senna occidentalis (coffee senna), Sida acuta (sida), Sida hyssopifolia, Sida rhombifolia, Solanum (nightshade), Solanum americanum, Solanum incanum (grey bitter-apple), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum nigrum (black nightshade), Sonchus asper (spiny sow-thistle), Sonchus oleraceus (common sowthistle), Sorghum bicolor (sorghum), Spondias pinnata, Stachytarpheta indica, Strelitzia, Stylosanthes hamata (Caribbean Stylo), Synedrella nodiflora (synedrella), Syngonium, Syzygium aqueum (watery rose-apple), Syzygium suborbiculare, Tabernaemontana divaricata (crepe jasmine), Tagetes erecta (Mexican marigold), Tecoma stans (yellow bells), Tectona grandis (teak), Tephrosia (hoary-pea), Tephrosia bracteolata, Terminalia, Terminalia catappa (Singapore almond), Thespesia populnea (portia tree), Tournefortia, Trichosanthes cucumerina (snake gourd), Urena lobata (caesar weed), Vernonia cinerea, Vigna (cowpea), Vigna marina (beach bean), Vigna radiata (mung bean), Vigna unguiculata (cowpea), Vitis vinifera (grapevine), Wedelia, Wollastonia biflora, Xanthosoma sagittifolium (elephant ear), Ximenia americana (hog plum), Zingiber zerumbet (shampoo ginger)"
"Erionota thrax","Musa (banana), Musa textilis (manila hemp), Musa x paradisiaca (plantain)"
"Aproceros leucopoda","Ulmus (elms), Ulmus castaneifolia, Ulmus davidiana (japanese elm), Ulmus glabra (mountain elm), Ulmus glaucescens, Ulmus hollandica (hybrid elm), Ulmus laciniata, Ulmus laevis (Russian white elm), Ulmus lamellosa, Ulmus minor (European field elm), Ulmus pumila (dwarf elm), Ulmus rubra (slippery elm)"
"Xiphinema diversicaudatum","Acer pseudoplatanus (sycamore), Allium porrum (leek), Beta vulgaris (beetroot), Brassica oleracea (cabbages, cauliflowers), Chamaecyparis lawsoniana (Port Orford cedar), Chamomilla suaveolens (Rounded chamomile), Chrysanthemum coronarium (garland chrysanthemum), Citrus, Crataegus laevigata, Cucumis sativus (cucumber), Daucus carota (carrot), Fagus sylvatica (common beech), Fragaria ananassa (strawberry), Fraxinus excelsior (ash), Hordeum vulgare (barley), Humulus lupulus (hop), Lactuca sativa (lettuce), Malus sylvestris (crab-apple tree), Mentha arvensis (Corn mint), Pisum sativum (pea), Prunus (stone fruit), Prunus domestica (plum), Prunus persica (peach), Prunus salicina (Japanese plum), Prunus spinosa (blackthorn), Pyrus communis (European pear), Rosa (roses), Rosa canina (Dog rose), Rosa chinensis (China rose), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Sambucus nigra (elder), Senecio vulgaris, Solanum lycopersicum (tomato), Solanum tuberosum (potato), Trifolium pratense (red clover), Tussilago farfara (Colt's-foot), Veronica (Speedwell), Viburnum tinus, Vitis vinifera (grapevine)"
"Maize streak virus","Avena sativa (oats), Hordeum vulgare (barley), Poaceae (grasses), Saccharum officinarum (sugarcane), Secale cereale (rye), Sorghum bicolor (sorghum), Triticum (wheat), Triticum aestivum (wheat), Zea mays (maize), Zea mays subsp. mays (sweetcorn)"
"Taraxacum officinale complex","Aronia melanocarpa (black chokeberry), Beta vulgaris (beetroot), Brassica napus var. napus (rape), Daucus carota (carrot), Fragaria ananassa (strawberry), Glycine max (soyabean), Hordeum vulgare (barley), Lactuca sativa (lettuce), Lolium perenne (perennial ryegrass), Malus domestica (apple), Medicago sativa (lucerne), Mentha piperita (Peppermint), Nicotiana tabacum (tobacco), Phaseolus (beans), Poa pratensis (smooth meadow-grass), Poaceae (grasses), Pyrus communis (European pear), Secale cereale (rye), Solanum tuberosum (potato), Trifolium pratense (red clover), Trifolium repens (white clover), Triticum aestivum (wheat), Vitis vinifera (grapevine), Zea mays (maize)"
